Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Daniel Cormier,win, Derrick Lewis, 2, 2:14, UFC 230 - Cormier vs. Lewis,Nov , 03 , 2018, Submission ,Rear-Naked Choke,Herb Dean
Daniel Cormier,win, Stipe Miocic, 1, 4:33, UFC 226 - Miocic vs. Cormier,Jul , 07 , 2018, KO ,Punches,Marc Goddard
Daniel Cormier,win, Volkan Oezdemir, 2, 2:00, UFC 220 - Miocic vs. Ngannou,Jan , 20 , 2018, TKO ,Punches,Kevin MacDonald
Daniel Cormier,NC, Jon Jones, 3, 3:01, UFC 214 - Cormier vs. Jones 2,Jul , 29 , 2017, No Contest ,Overturned by CSAC,John McCarthy
Daniel Cormier,win, Anthony Johnson, 2, 3:37, UFC 210 - Cormier vs. Johnson 2,Apr , 08 , 2017, Submission ,Rear-Naked Choke,John McCarthy
Daniel Cormier,win, Anderson Silva, 3, 5:00, UFC 200 - Tate vs. Nunes,Jul , 09 , 2016, Decision ,Unanimous,John McCarthy
Daniel Cormier,win, Alexander Gustafsson, 5, 5:00, UFC 192 - Cormier vs. Gustafsson,Oct , 03 , 2015, Decision ,Split,Herb Dean
Daniel Cormier,win, Anthony Johnson, 3, 2:39, UFC 187 - Johnson vs. Cormier,May , 23 , 2015, Submission ,Rear-Naked Choke,John McCarthy
Daniel Cormier,loss, Jon Jones, 5, 5:00, UFC 182 - Jones vs. Cormier,Jan , 03 , 2015, Decision ,Unanimous,Herb Dean
Daniel Cormier,win, Dan Henderson, 3, 3:53, UFC 173 - Barao vs. Dillashaw,May , 24 , 2014, Technical Submission ,Rear-Naked Choke,Yves Lavigne
Daniel Cormier,win, Patrick Cummins, 1, 1:19, UFC 170 - Rousey vs. McMann,Feb , 22 , 2014, TKO ,Punches,Mario Yamasaki
Daniel Cormier,win, Roy Nelson, 3, 5:00, UFC 166 - Velasquez vs. Dos Santos 3,Oct , 19 , 2013, Decision ,Unanimous,Jacob Montalvo
Daniel Cormier,win, Frank Mir, 3, 5:00, UFC on Fox 7 - Henderson vs. Melendez,Apr , 20 , 2013, Decision ,Unanimous,Herb Dean
Daniel Cormier,win, Dion Staring, 2, 4:02, Strikeforce - Marquardt vs. Saffiedine,Jan , 12 , 2013, TKO ,Punches,John McCarthy
Daniel Cormier,win, Josh Barnett, 5, 5:00, Strikeforce - Barnett vs. Cormier,May , 19 , 2012, Decision ,Unanimous,Josh Rosenthal
Daniel Cormier,win, Antonio Silva, 1, 3:56, Strikeforce - Barnett vs. Kharitonov,Sep , 10 , 2011, KO ,Punches,Greg Franklin
Daniel Cormier,win, Jeff Monson, 3, 5:00, Strikeforce - Overeem vs. Werdum,Jun , 18 , 2011, Decision ,Unanimous,Leon Roberts
Daniel Cormier,win, Devin Cole, 3, 5:00, Strikeforce - Challengers 13,Jan , 07 , 2011, Decision ,Unanimous,Greg Franklin
Daniel Cormier,win, Soa Palelei, 1, 0:00, XMMA - Xtreme MMA 3,Nov , 05 , 2010, TKO ,Submission to Punches,N/A
Daniel Cormier,win, Jason Riley, 1, 1:02, Strikeforce - Houston,Aug , 21 , 2010, TKO ,Submission to Punches,Kerry Hatley
Daniel Cormier,win, Tony Johnson, 1, 2:27, KOTC - Imminent Danger,Aug , 13 , 2010, Submission ,Rear-Naked Choke,Cecil Peoples
Daniel Cormier,win, Lucas Browne, 1, 4:35, XMMA 2 - ANZ vs. USA,Jul , 31 , 2010, TKO ,Punches,Kostas Papaioannou
Daniel Cormier,win, John Devine, 1, 1:09, Strikeforce - Challengers 7,Mar , 26 , 2010, KO ,Punch,N/A
Daniel Cormier,win, Gary Frazier, 2, 3:39, Strikeforce - Challengers 3,Sep , 25 , 2009, TKO ,Punches,Kevin Nix
